station,year,latitude,longitude,elevation,name,AWND,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,WSF2
AE000041196,2023,25.333,55.517,34.0,SHARJAH INTER. AIRP,,0.0,,,24.6,27.085714285714282,17.425,
AE000041196,2024,25.333,55.517,34.0,SHARJAH INTER. AIRP,,0.375,,,24.675,33.964285714285715,22.0,
AEM00041194,2023,25.255,55.364,10.4,DUBAI INTL,,29.4,,,23.033333333333335,27.35,16.3,
AEM00041194,2024,25.255,55.364,10.4,DUBAI INTL,,23.11764705882353,,,28.125,36.40769230769231,25.1,
AEM00041217,2023,24.433,54.651,26.8,ABU DHABI INTL,,,,,23.085714285714285,29.15,18.975,
AEM00041217,2024,24.433,54.651,26.8,ABU DHABI INTL,,,,,30.119999999999997,36.404545454545456,27.4,
AEM00041218,2023,24.262,55.609,264.9,AL AIN INTL,,,,,23.2125,27.01666666666667,17.425,
AEM00041218,2024,24.262,55.609,264.9,AL AIN INTL,,,,,30.68,37.38421052631579,25.428571428571427,
AG000060390,2023,36.7167,3.25,24.0,ALGER-DAR EL BEIDA,,10.0,,,13.09,28.4,47.25,
AG000060390,2024,36.7167,3.25,24.0,ALGER-DAR EL BEIDA,,6.714285714285714,,,19.55,24.5,11.4,
AG000060590,2022,30.5667,2.8667,397.0,EL-GOLEA,,0.0,,,15.959999999999999,24.3,49.8,
AG000060590,2024,30.5667,2.8667,397.0,EL-GOLEA,,0.5454545454545454,,,26.491304347826087,30.072727272727274,12.5,
AG000060611,2023,28.05,9.6331,561.0,IN-AMENAS,,,,,16.75,19.5,8.833333333333332,
AG000060611,2024,28.05,9.6331,561.0,IN-AMENAS,,0.0,,,27.284615384615385,36.15,7.44,
AGE00147708,2023,36.72,4.05,222.0,TIZI OUZOU,,12.2,,,13.719999999999999,29.8,11.4,
AGE00147708,2024,36.72,4.05,222.0,TIZI OUZOU,,6.890000000000001,,,21.740000000000002,27.175,13.341666666666665,
AGE00147716,2022,35.1,-1.85,83.0,NEMOURS (GHAZAOUET),,17.0,,,15.040000000000001,19.3,8.625,
AGE00147716,2023,35.1,-1.85,83.0,NEMOURS (GHAZAOUET),,11.833333333333334,,,14.666666666666666,19.116666666666667,9.825,
AGE00147716,2024,35.1,-1.85,83.0,NEMOURS (GHAZAOUET),,0.42857142857142855,,,20.32857142857143,19.9,14.915384615384616,
AGE00147718,2023,34.85,5.72,125.0,BISKRA,,,,,16.97142857142857,17.95,8.6,
AGE00147718,2024,34.85,5.72,125.0,BISKRA,,0.0,,,24.95,26.52,13.65,
AGE00147719,2022,33.7997,2.89,767.0,LAGHOUAT,,0.0,,,9.87142857142857,17.666666666666664,10.8,
AGE00147719,2023,33.7997,2.89,767.0,LAGHOUAT,,0.0,,,11.066666666666666,17.35,38.0,
AGE00147719,2024,33.7997,2.89,767.0,LAGHOUAT,,0.0,,,21.878571428571426,30.3375,7.2444444444444445,
AGM00060351,2022,36.795,5.874,11.0,JIJEL,,0.8333333333333334,,,11.7,19.9,6.8,
AGM00060351,2023,36.795,5.874,11.0,JIJEL,,0.0,,,13.325,17.0,8.0,
AGM00060355,2023,36.933,6.95,7.0,SKIKDA,,15.25,,,14.266666666666666,15.975,9.0,
AGM00060355,2024,36.933,6.95,7.0,SKIKDA,,10.733333333333333,,,22.22142857142857,18.9,8.7,
AGM00060360,2022,36.822,7.809,4.9,ANNABA,,0.0,,,10.3,24.2,6.85,
AGM00060360,2024,36.822,7.809,4.9,ANNABA,,20.833333333333332,,,19.336363636363636,21.98,12.433333333333334,
AGM00060402,2023,36.712,5.07,6.1,SOUMMAM,,30.125,,,12.34,20.4,7.6125,
AGM00060402,2024,36.712,5.07,6.1,SOUMMAM,,0.35714285714285715,,,20.19375,21.333333333333336,14.418181818181818,
AGM00060403,2022,36.467,7.467,228.0,GUELMA,,10.55,,,15.6,12.0,45.142857142857146,
AGM00060403,2023,36.467,7.467,228.0,GUELMA,,6.5,,,14.983333333333334,20.6,46.0,
AGM00060403,2024,36.467,7.467,228.0,GUELMA,,5.0,,,22.58095238095238,24.85,11.235,
AGM00060419,2023,36.276,6.62,690.4,MOHAMED BOUDIAF INTL,,1.6666666666666667,,,7.8,17.2,22.125,
AGM00060419,2024,36.276,6.62,690.4,MOHAMED BOUDIAF INTL,,3.4444444444444446,,,18.2,20.1,7.7,
AGM00060421,2024,35.867,7.117,891.0,OUM EL BOUAGHI,,1.7647058823529411,,,21.83076923076923,28.78181818181818,10.057142857142857,
AGM00060423,2023,36.283,7.967,680.0,SOUK AHRAS,,16.0,,,11.25,18.9,23.25,
AGM00060423,2024,36.283,7.967,680.0,SOUK AHRAS,,23.214285714285715,,,18.977777777777778,25.29375,11.036842105263158,
AGM00060425,2022,36.213,1.332,141.1,ECH CHELIFF,,21.8,,,13.4,21.3,6.3,
AGM00060425,2023,36.213,1.332,141.1,ECH CHELIFF,,6.777777777777778,,,14.225,19.125,5.666666666666666,
AGM00060425,2024,36.213,1.332,141.1,ECH CHELIFF,,2.5,,,22.36,25.155555555555555,14.719999999999999,
AGM00060430,2022,36.3,2.233,721.0,MILIANA,,18.366666666666667,,,15.38,22.2,8.86,
AGM00060430,2023,36.3,2.233,721.0,MILIANA,,17.75,,,14.233333333333334,20.3,9.9,
AGM00060430,2024,36.3,2.233,721.0,MILIANA,,3.076923076923077,,,21.933333333333334,27.923529411764708,11.775,
AGM00060437,2024,36.283,2.733,1036.0,MEDEA,,3.5217391304347827,,,17.82941176470588,22.307142857142857,13.670588235294119,
AGM00060444,2022,36.067,4.767,930.0,BORDJ-BOU-ARRERIDJ,,20.333333333333332,,,9.68,21.1,31.4,
AGM00060444,2024,36.067,4.767,930.0,BORDJ-BOU-ARRERIDJ,,2.55,,,22.705263157894738,23.70909090909091,10.282352941176471,
AGM00060445,2023,36.178,5.324,1050.0,SETIF AIN ARNAT,,0.0,,,9.65,19.740000000000002,8.375,
AGM00060445,2024,36.178,5.324,1050.0,SETIF AIN ARNAT,,10.1,,,17.75294117647059,18.8875,44.125,
AGM00060452,2024,35.817,-0.267,4.0,ARZEW,,0.9285714285714286,,,19.666666666666664,24.009999999999998,18.29285714285714,
AGM00060457,2024,35.883,0.117,138.0,MOSTAGANEM,,0.6842105263157895,,,21.055,24.63888888888889,11.91,
AGM00060461,2022,35.7,-0.65,22.0,ORAN-PORT,,10.25,,,14.616666666666665,16.82,12.071428571428571,
AGM00060461,2023,35.7,-0.65,22.0,ORAN-PORT,,25.666666666666668,,,16.86,18.3,13.066666666666666,
AGM00060461,2024,35.7,-0.65,22.0,ORAN-PORT,,0.0,,,20.817647058823532,19.066666666666666,16.875,
AGM00060467,2022,35.667,4.5,442.0,M'SILA,,,,,15.372727272727271,22.7,42.166666666666664,
AGM00060467,2023,35.667,4.5,442.0,M'SILA,,0.0,,,12.36,22.4,6.05,
AGM00060467,2024,35.667,4.5,442.0,M'SILA,,2.0,,,24.991304347826087,25.330000000000002,11.885714285714286,
AGM00060468,2023,35.55,6.183,1052.0,BATNA,,0.0,,,7.0,19.766666666666666,6.62,
AGM00060468,2024,35.55,6.183,1052.0,BATNA,,1.375,,,21.807692307692307,20.78,5.771428571428571,
