USW00013866,20161203,WDF5,250,Unnamed: 4,Unnamed: 5,W,Unnamed: 7,USC00412019,TMAX,178,7,0700,US1MSWR0002,PRCP,86,N,USS0020A09S,SNWD,686,T
USR0000MWIN,20161203,TMAX,78.0,H,,U,,,,,,,,,,,,,,
UY000086565,20161203,TMIN,196.0,,,S,,,,,,,,,,,,,,
US1VASF0005,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
US1COEL0046,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
US1GADH0001,20161203,PRCP,0.0,,,N,,,,,,,,,,,,,,
US1WYLM0059,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
RSM00030612,20161203,PRCP,5.0,B,,S,,,,,,,,,,,,,,
USS0009J01S,20161203,SNWD,178.0,,,T,,,,,,,,,,,,,,
USC00415650,20161203,SNOW,0.0,,,7,,,,,,,,,,,,,,
ASN00009692,20161203,PRCP,24.0,,,a,,,,,,,,,,,,,,
US1CASR0036,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
US1CODG0021,20161203,PRCP,0.0,T,,N,,,,,,,,,,,,,,
USC00110140,20161203,TMAX,50.0,,,7,600.0,,,,,,,,,,,,,
CA006106396,20161203,TAVG,-9.0,,,C,,,,,,,,,,,,,,
USC00043134,20161203,SNOW,0.0,,,7,,,,,,,,,,,,,,
USS0016F02S,20161203,TMIN,-42.0,,,T,,,,,,,,,,,,,,
ASN00040211,20161203,PRCP,0.0,,,a,,,,,,,,,,,,,,
USC00295490,20161203,TMIN,-156.0,,,7,800.0,,,,,,,,,,,,,
US1MIVB0002,20161203,WESF,0.0,T,,N,,,,,,,,,,,,,,
USC00416879,20161203,TOBS,117.0,,,7,800.0,,,,,,,,,,,,,
US1NYCM0024,20161203,SNWD,0.0,,,N,,,,,,,,,,,,,,
USS0007S03S,20161203,TMIN,-46.0,,,T,,,,,,,,,,,,,,
SPE00120080,20161203,TAVG,60.0,H,,S,,,,,,,,,,,,,,
CHM00051379,20161203,TAVG,-62.0,H,,S,,,,,,,,,,,,,,
ASN00010670,20161203,PRCP,0.0,,,a,,,,,,,,,,,,,,
FIE00144296,20161203,TMIN,-37.0,,,E,,,,,,,,,,,,,,
USC00331779,20161203,PRCP,0.0,,,7,2400.0,,,,,,,,,,,,,
FRM00007072,20161203,TAVG,26.0,H,,S,,,,,,,,,,,,,,
CA008400601,20161203,PRCP,43.0,,,C,,,,,,,,,,,,,,
ASN00040714,20161203,PRCP,0.0,,,a,,,,,,,,,,,,,,
USW00054777,20161203,WDF2,330.0,,,W,,,,,,,,,,,,,,
USW00003945,20161203,WSF5,76.0,,,W,,,,,,,,,,,,,,
US1ORLA0180,20161203,PRCP,5.0,,,N,,,,,,,,,,,,,,
US1NMSR0017,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
CA001157630,20161203,TMAX,45.0,,,C,,,,,,,,,,,,,,
US1FLAL0031,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
ITM00016400,20161203,TAVG,150.0,H,,S,,,,,,,,,,,,,,
USC00482725,20161203,TMAX,44.0,,,7,1700.0,,,,,,,,,,,,,
USC00238542,20161203,PRCP,0.0,,,7,700.0,,,,,,,,,,,,,
USS0005J18S,20161203,SNWD,25.0,,,T,,,,,,,,,,,,,,
USS0005K28S,20161203,TOBS,-114.0,,,T,,,,,,,,,,,,,,
USC00333780,20161203,TOBS,17.0,,,7,830.0,,,,,,,,,,,,,
USC00042713,20161203,TOBS,111.0,,,7,800.0,,,,,,,,,,,,,
CA004015322,20161203,TMAX,21.0,,,C,,,,,,,,,,,,,,
USS0007M36S,20161203,TMAX,-5.0,,,T,,,,,,,,,,,,,,
CA003010162,20161203,TMAX,25.0,,,C,,,,,,,,,,,,,,
US1WAWC0064,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
USC00416104,20161203,WDMV,48.0,,,7,,,,,,,,,,,,,,
US1MNHN0031,20161203,WESF,0.0,,,N,,,,,,,,,,,,,,
USC00346382,20161203,TMIN,67.0,,,7,2400.0,,,,,,,,,,,,,
US1CAMT0038,20161203,PRCP,0.0,,,N,,,,,,,,,,,,,,
USC00050263,20161203,TMIN,-178.0,,,7,730.0,,,,,,,,,,,,,
USW00014922,20161203,TMIN,-16.0,,,W,2400.0,,,,,,,,,,,,,
USC00415427,20161203,SNWD,0.0,,,7,800.0,,,,,,,,,,,,,
USW00023042,20161203,WDF5,60.0,,,W,,,,,,,,,,,,,,
CA005021849,20161203,WDFG,16.0,,,C,,,,,,,,,,,,,,
US1INLK0046,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
USC00203188,20161203,SNOW,0.0,,,7,,,,,,,,,,,,,,
USC00116642,20161203,SNOW,0.0,,,7,,,,,,,,,,,,,,
US1WISB0006,20161203,PRCP,0.0,,,N,,,,,,,,,,,,,,
IDM00096179,20161203,TMAX,313.0,,,S,,,,,,,,,,,,,,
CA003050602,20161203,SNWD,0.0,T,,C,,,,,,,,,,,,,,
USC00235227,20161203,TOBS,33.0,,,7,700.0,,,,,,,,,,,,,
CA006093005,20161203,TMIN,6.0,,,C,,,,,,,,,,,,,,
USC00423012,20161203,TMAX,-22.0,,,7,800.0,,,,,,,,,,,,,
USW00012897,20161203,TMIN,167.0,,,W,2400.0,,,,,,,,,,,,,
USC00303322,20161203,TMIN,-11.0,,,7,,,,,,,,,,,,,,
USC00410926,20161203,PRCP,84.0,,,7,700.0,,,,,,,,,,,,,
CA004024714,20161203,PRCP,0.0,,,C,,,,,,,,,,,,,,
CA1NB000016,20161203,PRCP,5.0,,,N,,,,,,,,,,,,,,
ASN00056161,20161203,PRCP,0.0,,,a,,,,,,,,,,,,,,
USC00238603,20161203,SNWD,0.0,,,7,,,,,,,,,,,,,,
ASN00055321,20161203,PRCP,0.0,,,a,,,,,,,,,,,,,,
SPE00120485,20161203,TMIN,31.0,,,E,,,,,,,,,,,,,,
US1NCWK0013,20161203,PRCP,0.0,,,N,,,,,,,,,,,,,,
USW00022519,20161203,PRCP,0.0,T,,W,,,,,,,,,,,,,,
JA000047672,20161203,TMIN,68.0,,,S,,,,,,,,,,,,,,
USS0062S01S,20161203,PRCP,0.0,,,T,,,,,,,,,,,,,,
US1CASD0097,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
USS0018H01S,20161203,TOBS,5.0,,,T,,,,,,,,,,,,,,
MXM00076571,20161203,TAVG,165.0,H,,S,,,,,,,,,,,,,,
USC00176856,20161203,TOBS,11.0,,,7,700.0,,,,,,,,,,,,,
RSM00034644,20161203,TAVG,-21.0,H,,S,,,,,,,,,,,,,,
USC00245791,20161203,PRCP,0.0,,,7,700.0,,,,,,,,,,,,,
US1KYHD0005,20161203,PRCP,0.0,,,N,,,,,,,,,,,,,,
ASN00068244,20161203,PRCP,0.0,,,a,,,,,,,,,,,,,,
USS0006M26S,20161203,TAVG,-87.0,,,T,,,,,,,,,,,,,,
USW00093759,20161203,TMAX,122.0,,,W,,,,,,,,,,,,,,
US1KSPT0021,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
USC00328792,20161203,TOBS,-67.0,,,7,800.0,,,,,,,,,,,,,
US1ARSH0017,20161203,PRCP,0.0,,,N,,,,,,,,,,,,,,
US1FLPN0058,20161203,SNOW,0.0,,,N,,,,,,,,,,,,,,
JA000047765,20161203,PRCP,0.0,,,S,,,,,,,,,,,,,,
CA005052890,20161203,TMIN,-26.0,,,C,,,,,,,,,,,,,,
USC00218039,20161203,TMIN,-22.0,,,7,800.0,,,,,,,,,,,,,
USC00142660,20161203,PRCP,0.0,,,7,700.0,,,,,,,,,,,,,
US1CODL0025,20161203,SNWD,38.0,,,N,,,,,,,,,,,,,,
USC00212576,20161203,TOBS,-67.0,,,7,600.0,,,,,,,,,,,,,
FIE00141855,20161203,TMAX,12.0,,,E,,,,,,,,,,,,,,
US1CAHM0052,20161203,PRCP,0.0,,,N,,,,,,,,,,,,,,
US1ILLG0006,20161203,PRCP,0.0,,,N,,,,,,,,,,,,,,
US1TXBRZ021,20161203,PRCP,978.0,,,N,,,,,,,,,,,,,,
US1ARBX0011,20161203,PRCP,0.0,,,N,,,,,,,,,,,,,,
ECM00084050,20161203,PRCP,5.0,,,S,,,,,,,,,,,,,,
AGM00060536,20161203,TMIN,102.0,,,S,,,,,,,,,,,,,,
USW00014994,20161203,PRCP,0.0,,,H,,,,,,,,,,,,,,
USC00400137,20161203,TMIN,0.0,,,7,700.0,,,,,,,,,,,,,
USC00466600,20161203,TMIN,-22.0,,,7,700.0,,,,,,,,,,,,,
USR0000OZAL,20161203,TMAX,44.0,H,,U,,,,,,,,,,,,,,
USW00013987,20161203,WT01,1.0,,,W,,,,,,,,,,,,,,
SWE00138040,20161203,SNWD,0.0,,,E,,,,,,,,,,,,,,
USS0007F06S,20161203,TMAX,-56.0,,,T,,,,,,,,,,,,,,
US1SCAK0027,20161203,PRCP,0.0,,,N,,,,,,,,,,,,,,
USS0008K04S,20161203,WESD,813.0,,,T,,,,,,,,,,,,,,
US1COPK0039,20161203,WESF,8.0,,,N,,,,,,,,,,,,,,
CA00705LKPQ,20161203,WDFG,33.0,,,C,,,,,,,,,,,,,,
USC00126705,20161203,TOBS,-22.0,,,7,900.0,,,,,,,,,,,,,
US1IDSH0002,20161203,SNWD,102.0,,,N,,,,,,,,,,,,,,
USR0000OTRO,20161203,TMAX,56.0,H,,U,,,,,,,,,,,,,,
FR000007650,20161203,PRCP,0.0,,,S,,,,,,,,,,,,,,
PLM00012424,20161203,TMAX,25.0,,,S,,,,,,,,,,,,,,
USW00012912,20161203,SNOW,0.0,,,W,,,,,,,,,,,,,,
USS0006L13S,20161203,WESD,254.0,,,T,,,,,,,,,,,,,,
RSM00031026,20161203,TMAX,-185.0,,,S,,,,,,,,,,,,,,
USW00093989,20161203,TMIN,-16.0,,,W,2400.0,,,,,,,,,,,,,
US1OHPB0004,20161203,PRCP,0.0,,,N,,,,,,,,,,,,,,
